"name","type","description","coding"
"name","character","Name of Car",
"mpg","double","Miles per gallon",
"cyl","double","Number of cylinders",
"disp","double","Displacement",
"hp","double","Gross horsepower",
"drat","double","Rear axle ratio",
"wt","double","Weight",
"qsec","double","Quarter mile time",
"vs","character","Engine","coding(code(""straight"",""1""), code(""v-shaped"",""0""))"
"am","character","Transmission","coding(code(""manual"",""1""), code(""automatic"",""0""))"
"gear","double","Number of forward gears",
"carb","double","Number of carburetors",
"wave","character",,
